VCD info: dumpfile sync_ram_wave.vcd opened for output.
Time	clk	en	we	addr	din	dout
0	0	0	0	0	00	xx
5000	1	0	0	0	00	xx
10000	0	1	1	1	a5	xx
15000	1	1	1	1	a5	xx
20000	0	1	1	2	3c	xx
25000	1	1	1	2	3c	xx
30000	0	1	1	3	7f	xx
35000	1	1	1	3	7f	xx
40000	0	1	0	1	7f	xx
45000	1	1	0	1	7f	a5
50000	0	1	0	2	7f	a5
55000	1	1	0	2	7f	3c
60000	0	1	0	3	7f	3c
65000	1	1	0	3	7f	7f
70000	0	1	0	3	7f	7f
75000	1	1	0	3	7f	7f
80000	0	1	0	3	7f	7f
85000	1	1	0	3	7f	7f
sync_ram_tb.v:54: $finish called at 90000 (1ps)
90000	0	1	0	3	7f	7f
